iter	TotalF1	MultiClass
367	0.9460176991	0.5386412219
368	0.9460176991	0.5380208379
369	0.9460176991	0.5372312611
370	0.9460176991	0.5365062926
371	0.9430047077	0.5358539967
372	0.9430047077	0.5349717533
373	0.9430047077	0.5345862082
374	0.9460176991	0.5339006866
375	0.9460176991	0.5331073911
376	0.9460176991	0.5324559667
377	0.9460176991	0.5317591974
378	0.9490161405	0.5310892757
379	0.9490161405	0.5302970216
380	0.9490161405	0.5295264997
381	0.9490161405	0.5286180604
382	0.9490161405	0.5278289121
383	0.9460176991	0.526921835
384	0.9490161405	0.5260959084
385	0.9519834542	0.5254081244
386	0.9490161405	0.5245730887
387	0.9519834542	0.5236355655
388	0.9489842619	0.522871349
389	0.9519834542	0.5221021699
390	0.9519834542	0.5216292126
391	0.9519834542	0.5211222585
392	0.9519834542	0.5203242619
393	0.9519834542	0.5195681738
394	0.9519834542	0.5192086614
395	0.9519834542	0.5184700472
396	0.9519834542	0.5177618351
397	0.9519834542	0.5169052841
398	0.9519834542	0.5161149854
399	0.9519834542	0.5152891192
400	0.9519834542	0.514454492
401	0.9519834542	0.5139008174
402	0.9519834542	0.5131271229
403	0.9519834542	0.5124651833
404	0.9519834542	0.5117950415
405	0.9519834542	0.5111900697
406	0.9519834542	0.5102954755
407	0.9519834542	0.5095775274
408	0.9519834542	0.5086762724
409	0.9519834542	0.5080777846
410	0.9519834542	0.506775166
411	0.9519834542	0.5063213644
412	0.9519834542	0.5055357162
413	0.9519834542	0.5048606082
414	0.9519834542	0.5039285865
415	0.9519834542	0.5032919159
416	0.9519834542	0.5023224742
417	0.9519834542	0.5018924623
418	0.9519834542	0.5011780775
419	0.9549775279	0.5002860477
420	0.9549775279	0.4993462094
421	0.9549775279	0.4984439043
422	0.9549775279	0.4980690976
423	0.9580078309	0.4973074305
424	0.9580078309	0.4961294169
425	0.9580078309	0.49518927
426	0.9580078309	0.494257175
427	0.9610215867	0.4937671781
428	0.9610215867	0.4929607752
429	0.9580078309	0.4922325707
430	0.9580078309	0.4916910892
431	0.9640644135	0.4908728337
432	0.9640644135	0.4903168453
433	0.9640644135	0.4893171448
434	0.9640644135	0.4884200412
435	0.9640644135	0.4875850619
436	0.9640644135	0.4872445508
437	0.9640644135	0.486358819
438	0.9640644135	0.4855892417
439	0.9640644135	0.4848363728
440	0.9640644135	0.4842510179
441	0.9640644135	0.4831581812
442	0.9640644135	0.4826799317
443	0.9640644135	0.4822169805
444	0.9640644135	0.4812599273
445	0.9640644135	0.4802636179
446	0.9640644135	0.4794354049
447	0.9640644135	0.4787116947
448	0.9640644135	0.4782848368
449	0.9640644135	0.4777583004
450	0.9640644135	0.4771231483
451	0.9640644135	0.4761808764
452	0.9640644135	0.4752961036
453	0.9640644135	0.4744101245
454	0.9640644135	0.4739404707
455	0.9640644135	0.4727869184
456	0.9640644135	0.4724568308
457	0.9640644135	0.472003362
458	0.9640644135	0.4710929738
459	0.9640644135	0.4703044834
460	0.9640644135	0.4695620383
461	0.9640644135	0.4688223162
462	0.9640644135	0.4682168472
463	0.9640644135	0.4674924864
464	0.9640644135	0.4669613198
465	0.9640644135	0.4663568465
466	0.9640644135	0.4657541339
467	0.9730102705	0.4652184737
468	0.970017269	0.4644789447
469	0.970017269	0.4640531994
470	0.970017269	0.4633461197
471	0.970017269	0.4628965689
472	0.970017269	0.4619813661
473	0.970017269	0.461292049
474	0.970017269	0.460485735
475	0.970017269	0.4598161567
476	0.970017269	0.4592578021
477	0.973031498	0.4583676739
478	0.970017269	0.4577141316
479	0.970017269	0.4569866972
480	0.970017269	0.4559083572
481	0.970017269	0.4552739852
482	0.970017269	0.4546743416
483	0.9730102705	0.4538520996
484	0.9730102705	0.4531454068
485	0.9730102705	0.4523947655
486	0.9760252255	0.4516422721
487	0.9760252255	0.4511795986
488	0.9760252255	0.4506038154
489	0.9760252255	0.4499453165
490	0.9790173735	0.449034656
491	0.9790173735	0.4483858499
492	0.9790173735	0.4480559316
493	0.9760252255	0.4471539813
494	0.9790173735	0.4466222721
495	0.9760252255	0.446052633
496	0.9760252255	0.4453232675
497	0.9760252255	0.4446981786
498	0.9760252255	0.4441681871
499	0.9760252255	0.44344889
500	0.9760252255	0.4428865811
501	0.9760252255	0.442156231
502	0.9790173735	0.441430447
503	0.982008307	0.4406768606
504	0.982008307	0.44005913
505	0.9790173735	0.4394202651
506	0.9849837744	0.4385511824
507	0.9849837744	0.4377850737
508	0.982008307	0.436998239
509	0.9849837744	0.4362399251
510	0.9849837744	0.4358996823
511	0.9849837744	0.4353896287
512	0.9849837744	0.4349207091
513	0.9819926068	0.4340588893
514	0.9819926068	0.4333739244
515	0.9819926068	0.4327094915
516	0.9819926068	0.4322256345
517	0.9819926068	0.431552094
518	0.9819926068	0.4307857226
519	0.9819926068	0.4297985635
520	0.9819926068	0.4293063453
521	0.9819926068	0.4286647257
522	0.9819926068	0.4279683956
523	0.9819926068	0.4274767719
524	0.9819926068	0.4269603385
525	0.9819926068	0.4265158773
526	0.9819926068	0.4260263617
527	0.9819926068	0.4254920577
528	0.9819926068	0.4248036336
529	0.9819926068	0.4242305065
530	0.9819926068	0.4236734116
531	0.9819926068	0.4234098019
532	0.9819926068	0.4228685006
533	0.9819926068	0.4221097191
534	0.9819926068	0.4216018482
535	0.9819926068	0.4211887109
536	0.9849837744	0.4206100743
537	0.9849837744	0.4200630816
538	0.9849837744	0.4192757417
539	0.9849837744	0.4186546358
540	0.9849837744	0.4183768676
541	0.9849837744	0.417722179
542	0.9849837744	0.4172186282
543	0.9849837744	0.4164044609
544	0.9849837744	0.4157798778
545	0.9849837744	0.4154616121
546	0.9849837744	0.4147592391
547	0.9849837744	0.4142529322
